店舗名称,住所,緯度,経度,電話番号,営業時間,休み,かに関連メニュー名および値段,定員,バス駐車場の有無,備考
ホテルせくみ屋,小浜市小浜白鬚113,35.49647204194400 ,135.74229436157900 ,0770-52-0020,11:30～14:30,無,"カニづくし（ずわい蟹使用）11,000円税別（※2021年時点）",100席,有,"3日前に要予約
値段に変動あり
詳しくはお問い合わせください"
四季彩の宿花椿,小浜市小浜白鳥72-1,35.49441275486570 ,135.73836043366700 ,0770-53-2001,11:30～14:00,無,"・蟹コースA　14,300円
・蟹コースB　22,000円　　　　　　　（※2021年時点）
・越前ガニコース　時価",50席,有,"3日前に要予約
値段に変動あり
詳しくはお問い合わせください"
セントピアあわら,あわら市温泉４－３０５,36.22496735484520 ,136.19366923951000 ,0776-78-4126,11：00～19：30,毎週火曜日,"セイコ蟹釜飯セット3,500円(時価により変動する可能性有り）",20名,有,要予約・冬季（カニ漁時期のみ）
越前三国湊　海船や,坂井市三国町安島（東尋坊）,36.23784574416360 ,136.12683893951000 ,0776-81-2646,8:00～16:00,不定休,"セイコ丼3,950円・かに料理時価",100名,有,-
潮騒の館　やし楼,坂井市三国町安島（東尋坊）,36.23730663527290 ,136.12761198368800 ,0776-82-5100,9:00～17:00,無休,"蟹づくし会席　6,600円～",180名,有,-
やまに,坂井市三国町安島（東尋坊）,36.23756006660360 ,136.12826101741800 ,0776-81-3420,8:00～17:00,無休,"子持ちセイコ丼3,800円～　",250名,有,-
東尋坊　正太楼,坂井市三国町安島（東尋坊）,36.23670821494480 ,136.12805435485200 ,0776-82-1199,9:00～17:00,不定休,"海鮮はみだし丼2,750円",168名,有,-
海鮮お食事処　夕なぎ,坂井市三国町安島（東尋坊）,36.23593833966540 ,136.12981661252300 ,0776-81-3323,9:00～17:00,1月1日,"かに梅コース（鍋と焼きガニ）2名様より6,600円　かにめし+イカ刺し2,000円",50名,有,-
越前　蟹の坊,坂井市三国町宿1-16,36.21989228548750 ,136.14093560392800 ,0776-82-3925,11:00～15:00,不定休,"せいこ丼6,450円（税抜）※価格変更あり",60名,有,-
料理茶屋　魚志楼,坂井市三国町神明3-7-23,36.21652451780410 ,136.14475571349000 ,0776-82-0141,"11:30～14:00（LO13:30）
18:00～22:00（LO21:30）",不定休,"越前かにコース 時価　セイコガニ付き会席コース9,900円　",30名（分室）,無,お食事どちらとも要予約となります。
食事処　はまさか,坂井市三国町宿2-17-24,36.22131585726260 ,136.13683708650900 ,0776-82-8883,"11:00～14:00(LO13:30）
17:00～21:00（LO20:30）",水曜日,"越前がにフルコース35,000円～",40名,有,-
お食事処　田島,坂井市三国町宿1-17-42,36.21946675160230 ,136.14127921349000 ,0776-81-7800,11:00～18:00,木曜日,"（活）ズワイガニ（刺身、焼ガニetc）　15,000円～
ゆでズワイガニ　15,000円～
セイコガニ　2,500円～",40名,有,"値段に変動あり
詳しくはお問い合わせください"
海鮮処　三国港,坂井市三国町楽円53-1-2,36.20321222115700 ,136.16161984232700 ,0776-81-7263,11:00～14:30,要確認,-,100名,有,-
みくに隠居処,坂井市三国町宿3-7-22,36.22364360976170 ,136.13603465767200 ,0776-82-8558,11:00～14:00(LO13:30）,水曜日・木曜日,"海鮮せいこ蟹ちらし　2,800円～　　　　
海鮮ずわい蟹ちらし　4,800円～",20名,有,"値段に変動あり
詳しくはお問い合わせください"
割烹　峰,勝山市郡町1-230,36.07078902761560 ,136.49584241737100 ,0779-88-0751,11：30～14：00、17：30～23：00,月曜日,"せいこがに、せいこがに丼、ズワイガニ（刺身、焼、ボイル）、ズボガニ、ヤマガニ
値段：日々変動",60名,有,奥越唯一の越前ガニ認証店
銀寿司,勝山市栄町4-3-53,36.06673981313100 ,136.49681692883600 ,0779-88-2547,11：30～14：00、17：00～22：00,月曜日,"せいこがに丼
値段は仕入れ値により変動","カウンター8名
座敷20名
個室6名",無,-
